,TimeStamps,SensorValues
167,54383-04-03 20:53:20,0.0
168,54383-04-07 08:13:20,0.0
169,54383-04-10 19:33:20,0.0
170,54383-04-14 06:53:20,0.0
171,54383-04-17 18:13:20,0.0
172,54383-04-21 05:33:20,0.0
173,54383-04-24 16:53:20,0.0
174,54383-04-28 04:13:20,1.0
175,54383-05-01 15:33:20,0.0
176,54382-04-02 00:10:00,0.0
177,54382-04-05 11:30:00,0.0
178,54382-04-08 22:50:00,0.0
179,54383-05-08 14:13:20,0.0
180,54383-05-12 01:33:20,0.0
181,54382-09-26 00:13:20,0.0
182,54383-05-05 02:53:20,0.0
183,54383-05-15 12:53:20,0.0
184,54383-05-19 00:13:20,0.0
185,54385-03-08 17:33:20,0.0
186,54385-01-15 15:33:20,0.0
187,54385-01-19 02:53:20,0.0
188,54385-01-22 14:13:20,0.0
189,54385-01-26 01:33:20,0.0
190,54385-01-29 12:53:20,0.0
191,54385-02-02 00:13:20,0.0
192,54385-02-05 11:33:20,0.0
193,54385-02-08 22:53:20,0.0
194,54385-02-12 10:13:20,0.0
195,54385-02-15 21:33:20,0.0
196,54385-02-19 08:53:20,0.0
197,54385-02-22 20:13:20,0.0
198,54385-02-26 07:33:20,0.0
199,54385-03-01 18:53:20,0.0
200,54385-03-05 06:13:20,0.0
201,54384-12-11 22:13:20,0.0
202,54384-12-15 09:33:20,0.0
203,54384-12-18 20:53:20,0.0
204,54384-12-22 08:13:20,0.0
205,54384-12-25 19:33:20,0.0
206,54384-12-29 06:53:20,0.0
207,54385-01-01 18:13:20,0.0
208,54385-01-05 05:33:20,0.0
209,54385-01-08 16:53:20,0.0
210,54385-03-12 04:53:20,0.0
211,54385-03-15 16:13:20,0.0
212,54385-03-19 03:33:20,0.0
213,54385-01-12 04:13:20,0.0
214,54385-03-22 14:53:20,0.0
215,54385-03-26 02:13:20,0.0
216,54385-03-29 13:33:20,0.0
217,54385-04-02 00:53:20,0.0
218,54385-04-05 12:13:20,0.0
219,54385-04-08 23:33:20,0.0
220,54385-04-12 10:53:20,0.0
221,54385-04-15 22:13:20,0.0
222,54385-04-19 09:33:20,0.0
223,54385-04-22 20:53:20,0.0
224,54385-04-26 08:13:20,0.0
225,54385-04-29 19:33:20,0.0
226,54385-05-03 06:53:20,0.0
227,54385-05-06 18:13:20,0.0
228,54385-05-10 05:33:20,0.0
229,54385-05-13 16:53:20,0.0
230,54385-05-17 04:13:20,1.0
231,54385-05-20 15:33:20,1.0
232,54385-05-24 02:53:20,2.0
233,54385-05-27 14:13:20,2.0
234,54385-05-31 01:33:20,5.0
235,54385-06-03 12:53:20,6.0
236,54385-06-07 00:13:20,6.0
237,54385-06-10 11:33:20,6.0
238,54385-06-13 22:53:20,6.0
239,54385-06-17 10:13:20,6.0
240,54385-06-20 21:33:20,6.0
241,54385-06-24 08:53:20,6.0
242,54385-06-27 20:13:20,6.0
243,54385-07-01 07:33:20,6.0
244,54385-07-04 18:53:20,6.0
245,54385-07-08 06:13:20,6.0
246,54385-07-11 17:33:20,6.0
247,54385-07-15 04:53:20,6.0
248,54385-07-18 16:13:20,6.0
249,54385-07-22 03:33:20,6.0
250,54385-07-25 14:53:20,6.0
251,54385-07-29 02:13:20,6.0
252,54385-08-01 13:33:20,7.0
253,54385-08-05 00:53:20,6.0
254,54385-08-08 12:13:20,7.0
255,54385-08-11 23:33:20,7.0
256,54385-08-15 10:53:20,7.0
257,54385-08-18 22:13:20,7.0
258,54385-08-22 09:33:20,7.0
259,54385-08-25 20:53:20,7.0
260,54385-08-29 08:13:20,7.0
261,54385-09-01 19:33:20,7.0
262,54385-09-05 06:53:20,9.0
263,54385-09-08 18:13:20,9.0
264,54385-09-12 05:33:20,9.0
265,54385-09-15 16:53:20,9.0
266,54385-09-19 04:13:20,9.0
267,54385-09-22 15:33:20,9.0
268,54385-09-26 02:53:20,9.0
269,54385-09-29 14:13:20,9.0
270,54385-10-03 01:50:00,9.0
271,54385-10-06 13:10:00,9.0
272,54385-10-10 00:30:00,9.0
273,54385-10-13 11:50:00,9.0
274,54385-10-16 23:10:00,9.0
275,54385-10-20 10:30:00,9.0
276,54385-10-23 21:50:00,9.0
277,54385-10-27 09:10:00,9.0
278,54385-10-30 20:30:00,9.0
279,54385-11-20 16:30:00,10.0
280,54385-11-03 07:50:00,9.0
281,54385-11-06 19:10:00,9.0
282,54385-11-10 06:30:00,9.0
283,54385-11-13 17:50:00,9.0
284,54385-11-17 05:10:00,9.0
285,54385-11-24 03:50:00,8.0
286,54385-11-27 15:10:00,8.0
287,54385-12-01 02:30:00,9.0
288,54385-12-14 23:50:00,10.0
289,54385-12-18 11:10:00,10.0
290,54385-12-21 22:30:00,10.0
291,54385-12-25 09:50:00,10.0
292,54385-12-28 21:10:00,10.0
293,54386-01-01 08:30:00,10.0
294,54385-12-04 13:50:00,9.0
295,54385-12-08 01:10:00,9.0
296,54385-12-11 12:30:00,9.0
297,54386-01-04 19:50:00,10.0
298,54386-01-08 07:10:00,9.0
